Date,Product,Quantity
2023-01-01,Cat Food,18
2023-01-01,Chocolate Bars,33
2023-01-01,Coffee Beans,54
2023-01-01,Energy Drinks,25
2023-01-01,Laundry Detergent,10
2023-01-01,Olive Oil,15
2023-01-01,Organic Green Tea,19
2023-01-01,Shampoo,17
2023-01-01,Sparkling Water,28
2023-01-01,Whole Wheat Bread,52
2023-01-02,Cat Food,21
2023-01-02,Chocolate Bars,26
2023-01-02,Coffee Beans,38
2023-01-02,Energy Drinks,28
2023-01-02,Laundry Detergent,11
2023-01-02,Olive Oil,14
2023-01-02,Organic Green Tea,21
2023-01-02,Shampoo,16
2023-01-02,Sparkling Water,20
2023-01-02,Whole Wheat Bread,48
2023-01-03,Cat Food,23
2023-01-03,Chocolate Bars,15
2023-01-03,Coffee Beans,42
2023-01-03,Energy Drinks,23
2023-01-03,Laundry Detergent,12
2023-01-03,Olive Oil,17
2023-01-03,Organic Green Tea,16
2023-01-03,Shampoo,19
2023-01-03,Sparkling Water,22
2023-01-03,Whole Wheat Bread,47
2023-01-04,Cat Food,22
2023-01-04,Chocolate Bars,27
2023-01-04,Coffee Beans,47
2023-01-04,Energy Drinks,30
2023-01-04,Laundry Detergent,11
2023-01-04,Olive Oil,18
2023-01-04,Organic Green Tea,23
2023-01-04,Shampoo,16
2023-01-04,Sparkling Water,27
2023-01-04,Whole Wheat Bread,48
2023-01-05,Cat Food,19
2023-01-05,Chocolate Bars,38
2023-01-05,Coffee Beans,37
2023-01-05,Energy Drinks,27
2023-01-05,Laundry Detergent,13
2023-01-05,Olive Oil,18
2023-01-05,Organic Green Tea,21
2023-01-05,Shampoo,17
2023-01-05,Sparkling Water,31
2023-01-05,Whole Wheat Bread,55
2023-01-06,Cat Food,26
2023-01-06,Chocolate Bars,24
2023-01-06,Coffee Beans,37
2023-01-06,Energy Drinks,23
2023-01-06,Laundry Detergent,10
2023-01-06,Olive Oil,18
2023-01-06,Organic Green Tea,21
2023-01-06,Shampoo,18
2023-01-06,Sparkling Water,26
2023-01-06,Whole Wheat Bread,52
2023-01-07,Cat Food,22
2023-01-07,Chocolate Bars,27
2023-01-07,Coffee Beans,62
2023-01-07,Energy Drinks,43
2023-01-07,Laundry Detergent,10
2023-01-07,Olive Oil,17
2023-01-07,Organic Green Tea,25
2023-01-07,Shampoo,18
2023-01-07,Sparkling Water,23
2023-01-07,Whole Wheat Bread,57
2023-01-08,Cat Food,25
2023-01-08,Chocolate Bars,34
2023-01-08,Coffee Beans,56
2023-01-08,Energy Drinks,55
2023-01-08,Laundry Detergent,9
2023-01-08,Olive Oil,16
2023-01-08,Organic Green Tea,27
2023-01-08,Shampoo,19
2023-01-08,Sparkling Water,32
2023-01-08,Whole Wheat Bread,50
2023-01-09,Cat Food,22
2023-01-09,Chocolate Bars,28
2023-01-09,Coffee Beans,36
2023-01-09,Energy Drinks,26
2023-01-09,Laundry Detergent,8
2023-01-09,Olive Oil,18
2023-01-09,Organic Green Tea,23
2023-01-09,Shampoo,17
2023-01-09,Sparkling Water,30
2023-01-09,Whole Wheat Bread,43
2023-01-10,Cat Food,20
2023-01-10,Chocolate Bars,32
2023-01-10,Coffee Beans,42
2023-01-10,Energy Drinks,32
2023-01-10,Laundry Detergent,11
2023-01-10,Olive Oil,14
2023-01-10,Organic Green Tea,16
2023-01-10,Shampoo,18
2023-01-10,Sparkling Water,22
2023-01-10,Whole Wheat Bread,52
2023-01-11,Cat Food,23
2023-01-11,Chocolate Bars,20
2023-01-11,Coffee Beans,36
2023-01-11,Energy Drinks,18
2023-01-11,Laundry Detergent,12
2023-01-11,Olive Oil,15
2023-01-11,Organic Green Tea,17
2023-01-11,Shampoo,18
2023-01-11,Sparkling Water,24
2023-01-11,Whole Wheat Bread,52
2023-01-12,Cat Food,22
2023-01-12,Chocolate Bars,30
2023-01-12,Coffee Beans,36
2023-01-12,Energy Drinks,21
2023-01-12,Laundry Detergent,11
2023-01-12,Olive Oil,15
2023-01-12,Organic Green Tea,19
2023-01-12,Shampoo,18
2023-01-12,Sparkling Water,25
2023-01-12,Whole Wheat Bread,55
2023-01-13,Cat Food,20
2023-01-13,Chocolate Bars,29
2023-01-13,Coffee Beans,40
2023-01-13,Energy Drinks,31
2023-01-13,Laundry Detergent,14
2023-01-13,Olive Oil,19
2023-01-13,Organic Green Tea,21
2023-01-13,Shampoo,18
2023-01-13,Sparkling Water,21
2023-01-13,Whole Wheat Bread,45
2023-01-14,Cat Food,26
2023-01-14,Chocolate Bars,31
2023-01-14,Coffee Beans,36
2023-01-14,Energy Drinks,52
2023-01-14,Laundry Detergent,14
2023-01-14,Olive Oil,19
2023-01-14,Organic Green Tea,24
2023-01-14,Shampoo,19
2023-01-14,Sparkling Water,33
2023-01-14,Whole Wheat Bread,51
2023-01-15,Cat Food,21
2023-01-15,Chocolate Bars,34
2023-01-15,Coffee Beans,38
2023-01-15,Energy Drinks,42
2023-01-15,Laundry Detergent,11
2023-01-15,Olive Oil,18
2023-01-15,Organic Green Tea,21
2023-01-15,Shampoo,19
2023-01-15,Sparkling Water,29
2023-01-15,Whole Wheat Bread,44
2023-01-16,Cat Food,18
2023-01-16,Chocolate Bars,32
2023-01-16,Coffee Beans,36
2023-01-16,Energy Drinks,25
2023-01-16,Laundry Detergent,9
2023-01-16,Olive Oil,19
2023-01-16,Organic Green Tea,21
2023-01-16,Shampoo,19
2023-01-16,Sparkling Water,27
2023-01-16,Whole Wheat Bread,46
2023-01-17,Cat Food,26
2023-01-17,Chocolate Bars,31
2023-01-17,Coffee Beans,33
2023-01-17,Energy Drinks,27
2023-01-17,Laundry Detergent,11
